,precio_actual
7174,234429
3007,291474
6412,142324
4587,417041
4221,223436
8546,216981
7149,360537
5277,206196
2750,273447
6866,413975
6952,323400
4376,234628
2944,173393
9729,125867
2718,368522
7305,410747
7488,308550
6074,416815
7248,353350
12175,241380
12417,295322
4161,240347
10644,269430
9625,374009
9292,358798
11963,206978
10145,233580
12364,147463
11058,371322
4867,145195
9006,112145
1017,299688
11397,179800
5335,149533
12406,335913
1928,360877
350,321215
12275,161607
11669,313042
10771,259631
11670,258363
9798,178805
7348,163945
7905,225533
564,180980
1582,165307
2175,112974
7663,294329
12474,345630
3933,271759
2707,392277
12342,231698
12374,252649
3535,281366
11471,254982
7925,335186
9730,219740
3739,131541
9774,375013
821,142568
2063,127844
8440,370073
81,408663
8243,312952
11562,195313
2697,307611
831,383057
4574,267074
3826,139969
9079,296252
2833,332206
8271,241965
11606,398284
6888,300959
48,387524
7110,254351
8401,382824
9372,216161
12318,157440
7722,319604
9395,218617
4095,169923
2689,363740
6127,255368
8816,268363
4845,206347
6818,340463
2373,328856
9861,168603
2758,362414
12404,226324
7090,386523
7104,286464
5767,221794
3880,213991
8260,392290
5511,337939
4934,397188
11457,187464
7541,237327
9931,315139
3945,136547
9997,135785
2164,326820
2886,289119
8528,110110
9043,332245
516,253828
9745,146941
5019,239913
172,342348
639,317144
5414,234124
11641,146535
1143,207251
8999,362954
7732,306353
10456,389181
1832,341842
8023,391863
9570,385815
3686,220402
9482,155698
6929,306821
4537,352038
6472,315931
7937,338675
834,297492
2486,248121
11801,341704
6170,219635
7132,149644
10288,262351
11960,300858
7349,261792
11953,413582
65,182122
10240,360797
8899,127595
8493,270333
2024,412366
8031,210129
354,225339
9429,303536
4762,417879
8347,120818
10124,278954
6459,174130
12306,245747
8484,331735
4568,166935
3127,298613
5058,183692
309,271799
9855,275107
6249,349003
11723,222288
9740,336068
4354,198818
8107,139724
6252,375167
8018,300913
11941,212542
2583,87232
6505,195214
2770,202029
4812,274338
10090,168220
8510,257259
6176,222233
3209,345377
10012,112418
3905,282721
11054,272473
12021,214489
6125,255012
6727,333762
2379,182540
8713,255558
6772,263579
4169,243429
10207,262656
3428,340637
4421,158452
1101,277842
6550,369283
10143,279969
11917,148556
3250,276631
4409,263924
4140,260399
3557,348861
7445,268240
118,135030
2022,159637
4598,120577
5090,115628
5095,310967
10823,127881
9639,287829
10024,291510
4681,263635
5003,370028
9802,199915
5700,144027
4273,118050
6601,289814
87,249191
7868,360028
3382,125939
8278,356268
10872,401705
403,221897
12164,104895
3350,347662
10400,278481
10833,121569
8819,194125
2241,229347
8918,242459
5271,124650
8198,155189
1027,235123
12128,274727
8299,212956
2436,418936
6179,261877
8444,264003
1278,284199
7712,372187
7955,424582
1425,296330
5027,312895
8612,165848
1502,288896
12173,131079
10736,259473
10237,354243
10717,288743
678,299290
8699,257075
11491,355521
11532,378940
5053,253150
7535,262091
1070,419630
5537,308721
2480,212812
11287,148664
3392,282542
1099,306260
12346,144673
8167,181191
418,225541
7599,159410
7920,193676
1947,203719
3336,310620
2299,276068
7118,155979
9039,262367
12219,380566
208,276437
10887,140013
6428,423881
8593,250539
12142,110654
528,146288
779,328819
722,141793
7675,286712
1860,344045
11462,341735
11948,131387
10575,385411
11322,299436
1992,307948
2332,274311
8055,157341
8265,341611
9123,161525
3459,205097
5620,167849
5844,360695
7297,357342
10062,252047
4518,138904
5721,388998
5138,374963
10113,143347
11792,169741
257,227740
9520,237877
10924,188131
10759,209483
9983,179702
7828,252838
3625,241737
702,315695
3189,352835
503,216548
11010,337779
2556,145667
7923,394835
2248,111197
372,394929
4052,105097
3937,383736
12365,376612
4076,292893
997,184263
4332,262664
5770,207321
1176,173236
12107,127652
551,184597
4840,263731
4372,224140
3497,270348
6848,172247
5226,92052
5914,357553
9008,148804
5176,343610
8817,338050
10398,124446
7821,335935
10912,355304
693,385892
2533,189073
5011,108252
3443,255929
982,125236
5576,316167
11759,321494
4222,213440
91,144292
2266,200652
8960,415602
5611,376859
7676,236542
7779,265108
261,316422
3337,310020
10407,124764
6292,145496
7195,235379
445,326869
5111,365822
3555,210603
2194,300396
7042,357396
7696,354473
2867,330769
2526,113796
8304,297952
5835,131077
11954,250088
1168,138511
4144,148733
5149,349979
84,200921
3149,383562
8008,411794
880,333674
9735,335592
5924,265967
1467,343417
9140,390429
11642,330341
7346,295070
4326,227019
4044,381466
4137,164755
3039,206120
12293,240694
11049,222033
9392,390582
579,272128
5236,364932
10544,331293
9198,361167
5556,265384
9837,102637
2467,136156
4157,212446
11590,207718
413,151597
402,326390
4428,266211
2084,246851
3057,229942
12059,177295
164,112422
11138,181480
4302,303306
8049,284206
9341,173601
3317,219925
10014,326434
3934,362906
1847,343798
1334,154602
9607,303275
753,284677
3064,346946
8621,121091
706,107996
3491,284246
4573,237284
7524,297074
5279,240240
3151,369934
11685,354359
3799,273150
4022,209671
1074,384345
10658,150000
3438,337323
7070,252179
11160,188562
7981,226115
2429,259342
246,215001
3815,220073
5965,219446
3632,203187
8331,177428
2262,124844
2246,167436
835,296650
5064,220631
432,319834
5559,153853
1173,136246
5952,276596
4656,348018
5289,163868
7831,295347
8388,121272
250,385673
5353,144572
12229,193129
5639,308836
6343,117757
10994,310747
3407,236741
2729,368300
12373,265129
433,224251
5756,306192
9469,181712
11350,413374
10159,358836
7974,270412
6196,162760
11436,305822
4002,282391
4753,280454
1332,291295
8216,193006
9252,196965
5762,327962
1443,414086
11584,163225
6955,353836
4310,253116
4899,279869
5817,232679
10536,206088
9353,284355
11416,372043
2569,338278
8949,254563
4277,104334
3666,272398
10305,278162
2446,246371
5404,120830
3657,180655
10082,398480
3172,178950
1223,190029
6023,365663
4166,196750
544,132368
1204,277964
5743,277315
6598,388890
11369,205225
2637,153755
12101,342690
5740,203945
10388,404346
6720,326602
10888,258563
877,209849
10133,191473
196,248104
12179,217083
3383,215717
4379,212257
8620,243228
12255,117413
2997,253414
10590,223322
2571,177880
6149,106070
10775,348493
11705,219222
11971,186111
4969,150752
4711,388655
4163,126743
5397,305668
8877,120484
9391,316836
2682,241928
9564,413278
2508,204693
5641,331218
1510,299167
4314,323700
12010,121416
7894,266858
1244,288191
5805,307791
6661,237396
11006,283598
4121,230075
4995,353468
12353,135647
8305,104492
7089,336354
6821,394142
5262,263927
254,258516
12067,202306
4511,348476
7273,267018
5159,196966
10311,264477
759,340323
654,377041
5297,314318
5288,256599
7907,394429
3401,149283
1420,233547
3044,126801
2830,239124
8452,152409
328,314494
8490,331850
253,371029
7966,105434
5323,253490
6350,151478
4377,397035
5092,360427
5377,169435
3019,247373
3029,320223
2636,336211
7713,347503
7046,347092
3018,170068
2945,333867
3659,186413
8847,325957
10003,165110
6662,213596
2663,377650
5378,213046
5932,271056
1362,340349
8339,123861
3481,226327
12037,209434
9165,272218
10579,402218
10391,253654
9095,371293
7640,206790
8459,359705
2880,329963
3381,154541
11546,320935
1302,116471
9322,395129
4957,193074
4836,379617
7223,408545
8410,385489
10545,167830
7853,135973
942,275892
10190,331822
3235,164864
3257,239390
9466,188789
9257,199145
176,264770
435,150821
5484,300641
308,282836
1565,283503
3964,422615
2135,351526
11687,316321
10962,295032
4977,370374
6347,160282
10855,237857
595,436478
5751,397954
4625,284518
5332,285702
8424,118884
10327,356004
10382,251280
2623,146767
4572,139060
9480,270758
12172,224209
231,298744
179,178414
737,268157
12012,135672
9026,128846
9156,377784
8020,387925
6515,385303
9282,298660
6101,157541
1321,140237
1995,215768
6676,137743
8076,377224
6461,177729
7771,217559
800,229306
10546,205548
2086,175449
5501,258631
7740,378107
69,149083
5367,392996
8748,369142
8464,203679
5170,189584
1680,381968
377,358424
1469,266610
2603,185297
4181,396247
6618,173847
9705,219835
4505,308967
9634,265630
4230,337435
3091,273938
2726,206012
477,236509
1329,262021
2283,148836
3732,311764
12055,163534
751,306398
10854,316177
7630,370371
873,189314
10364,281304
8157,139237
8094,420939
4564,178154
1545,373054
739,245767
10692,283257
2683,114472
11746,288090
9241,215168
5121,293600
12020,225714
3518,256456
5589,349052
2354,245704
10540,142182
8037,119806
773,278919
5562,114226
11004,286818
5200,418514
10333,323303
641,222604
6631,190911
6872,348177
10316,211923
7911,284618
4309,235266
5204,119646
865,237441
5516,238856
7850,195256
11957,212989
11709,397776
12358,199388
7750,166345
7515,215791
8406,186492
962,236116
11782,175181
8420,155165
8753,133699
8598,278688
3309,146164
2166,405517
363,307648
3723,231508
2825,145977
6423,304075
3597,206462
4726,90968
546,126177
2940,143984
471,405096
1641,288926
10448,322868
3338,131091
5747,227527
1172,348160
7493,258228
5273,354292
5601,374609
12089,342972
8722,419140
7169,336519
5702,316360
5860,252522
11163,226840
1410,249497
12425,350720
6243,292970
9162,371186
9301,178562
2694,337576
815,166953
2131,116488
1797,239285
4575,155794
5190,336362
3122,260682
5365,382243
11379,310271
4275,136195
11557,258598
3089,283537
7109,391587
10581,361671
12479,315018
7839,289911
5253,291975
237,162414
1532,316445
11763,167488
5994,340246
3410,167807
2831,154708
11374,194550
1535,377877
3879,154948
5302,303359
10141,119168
1299,269641
5499,280220
11707,176094
8938,293077
1480,294576
2793,165129
9317,194097
12224,365058
5091,212408
2329,257470
6192,233290
10499,367801
7242,241936
8898,211600
3661,349358
555,285200
4825,393201
1163,220526
7811,226257
4715,291174
397,179308
9713,262302
2506,281454
10987,368485
6681,309967
8221,349085
7163,219895
10645,329525
723,108490
300,127823
11549,336586
6741,185847
4294,193528
6810,308235
4185,179786
6802,343346
5813,328452
12290,236154
3142,207386
8289,286457
9892,318560
3205,289916
4955,163029
4582,104654
11982,316935
11962,246264
12085,202703
7634,210601
9824,346237
1152,180528
1212,306582
4503,186817
10255,306550
12126,291516
9112,320189
5427,129358
7559,363920
11968,295780
665,123461
11980,85000
642,366942
11543,371575
3767,357121
4272,194503
6939,364340
786,162354
2857,161297
3202,308503
7551,307194
6756,175452
4187,164984
11031,320167
10360,294930
4824,161894
2905,224968
4626,114869
6057,334288
996,178170
6685,325932
8939,186783
7053,303399
5523,267426
6784,363332
156,363900
10831,168656
3085,396976
8935,378473
1552,323554
7949,345143
7414,275441
8021,293806
3795,245322
495,305895
6558,169443
2321,383298
7549,380196
12304,380953
151,147680
10194,351034
9500,223631
11550,351056
8545,167762
1738,310756
3001,311079
11075,335710
9505,97491
7271,200007
11242,385420
11536,234035
2883,325703
3720,285881
11901,135485
10935,275941
6037,133890
5471,295905
6209,175763
11403,152719
2276,142999
4823,311348
4704,216222
4461,116043
343,162399
9608,242301
4136,348513
10797,401513
10115,366841
6690,367404
2223,255413
4196,366566
2584,240742
5786,318994
8673,278990
5081,367267
7671,216445
7386,241665
11413,365647
4734,203415
7078,193121
1465,92214
4593,183402
2234,346279
9682,129273
3903,293210
283,282512
11572,251318
9319,361723
10709,368315
8587,203646
11715,223437
4151,230050
6876,136267
8725,359744
2121,332293
9040,389503
5012,341235
9630,316099
6743,410441
3161,372648
2630,148568
11502,270107
10630,134836
8354,169492
11203,328481
1203,226783
8478,418221
616,300611
1926,309078
3114,357925
2641,344969
11196,368691
2562,341697
6415,174252
2728,372231
5728,197972
11720,301643
12328,239799
2126,227209
6735,133127
10292,412789
7257,244991
7769,273358
805,113620
4694,223000
6013,119582
6577,136263
3140,250365
4280,227029
5338,229914
9431,209493
566,240173
6248,197198
547,101361
26,268866
7773,237112
3918,142979
4486,205273
10508,206781
5398,143922
8637,360493
6315,152931
1221,199678
7837,324697
2548,283635
11831,369393
437,332407
6862,319045
10567,219009
6961,212423
1861,339040
2699,137621
8723,140259
7719,247089
2481,340446
11095,236155
10529,363366
2706,372951
6878,148720
326,261069
5135,155870
5325,365638
2499,359695
1004,195736
9485,125289
7063,266321
4011,156211
11167,149677
534,387286
3770,166454
3960,324808
9418,132385
585,327631
10287,177859
8695,232197
8071,365897
5799,151707
6739,246952
8455,306012
491,247539
8336,154150
7505,325342
8961,180371
11871,267729
9807,292985
3548,142250
6699,323389
1916,123736
3185,103140
8799,229032
1910,401088
4034,249771
6654,357854
1133,407406
8085,326821
7606,360782
2518,240157
8986,361291
1317,165001
4368,175132
121,219457
9573,233292
2449,135829
6333,356102
5662,305298
6798,311664
2601,329478
1522,348711
3484,309341
2173,201211
3283,344871
4554,237178
3605,185383
10765,238593
9356,85000
6076,357432
11325,266815
3768,135924
12096,161400
8688,178215
4038,148968
3502,285385
1407,363430
4631,385012
6496,184100
11677,287555
4935,311441
7665,184045
12299,423129
2579,266696
12161,294513
3269,190865
11940,298942
1867,85827
5550,372963
6576,133084
12386,186617
6475,348666
2521,182374
8447,310230
1820,370064
7007,86094
51,221453
3888,169700
5187,133835
8383,350639
3577,197886
4565,295968
8042,197831
7047,380832
10283,136498
12046,292318
1858,270651
7931,267118
11912,188143
4961,275997
7859,160164
11879,313572
11757,389083
8979,406649
11522,156719
5198,200852
7690,165442
425,310615
4284,272413
8500,96558
12131,199658
228,380817
8169,340787
2741,136011
5137,177770
10926,139255
9068,85000
11911,143908
2921,438621
5718,242112
8524,109062
5583,249533
10526,305443
3653,162346
9940,264242
6429,373616
1128,266171
7964,174657
2331,103697
2208,117289
7879,251768
11112,281733
11664,242268
3153,164340
6975,143332
10182,165124
8913,270126
12005,269866
4990,219649
2374,240541
1632,214073
7592,380518
2298,392131
9876,290668
4252,306991
6723,134289
2721,300188
9543,261348
7887,385643
8215,151850
9478,153450
1736,332653
6050,286645
9270,303567
5736,209147
8517,192357
6330,326341
5094,179265
2640,99744
10939,238194
8408,183984
11643,177662
10151,296152
2550,399735
6641,285820
10280,268804
938,375723
12294,205689
11067,138445
12453,293380
12151,242020
4852,315402
2644,301002
10917,368291
3165,119261
3639,105781
5069,301282
6627,365933
4487,263249
2061,336852
4645,334629
6740,397687
2812,269528
11721,153203
11295,294983
12081,160049
11225,213480
2549,92480
8813,164517
7585,255895
12379,244902
9024,151277
4174,123730
6077,259881
10936,148229
1024,158390
4848,112505
6300,171827
11444,253329
1951,387459
7819,349489
351,265882
9968,180509
7586,261600
5480,210203
9809,265642
4797,339215
6105,254613
3662,326451
7885,341285
4657,264058
11342,202516
3150,130471
7492,322961
6745,291137
4813,301165
11050,212045
5969,150807
8809,390130
5143,105399
2939,240305
7482,178935
4510,309167
1340,179761
11708,141519
1391,205865
7945,135455
7255,364822
9703,323510
12027,220397
7626,217333
6912,191838
1583,294422
1412,326198
6449,210465
10932,380862
2256,346824
9683,254533
9071,372772
2212,166818
5603,125748
2622,314732
8254,354952
6004,199450
5417,325262
4938,249655
10894,343894
3624,168631
6714,417207
4267,135214
11215,106817
463,364609
1754,274158
12392,254281
5638,197524
6911,224019
7882,209499
8206,174742
378,377076
3106,196438
4803,247083
1335,343085
10990,272320
12114,309572
2716,343098
7841,193247
7205,259967
9298,122634
8983,199719
7602,140709
12419,389427
1811,100987
7836,373477
7209,317709
1894,303347
9225,377695
6875,289285
11019,125806
10018,270159
1189,273606
5194,216695
12442,171536
7952,334066
11499,372844
3454,251672
8247,263025
6861,245878
9904,320263
12335,138641
6290,169993
6319,199345
9316,327986
4613,184050
3992,283314
11554,205581
1030,282132
7298,290945
2220,365205
3774,226723
8872,162370
9681,217860
1755,127590
9664,174325
9137,255153
8758,126636
4327,367452
10670,246619
110,366632
11849,154577
9269,184372
5731,265204
2917,210777
11483,261256
1515,180836
11803,121554
11511,336481
11308,289849
10498,328670
2263,207709
7092,320748
6575,345711
10604,379259
11545,295013
893,230495
1490,358470
1850,269943
9606,328089
7919,339178
324,272058
1215,321312
2933,171216
4689,114109
9248,189293
8970,140018
10719,354762
11468,293540
12152,202360
1129,158754
7520,301810
2918,266150
9953,276371
3084,336992
4588,384142
4304,397443
2795,149261
8334,166520
798,140626
734,237597
6380,357985
2244,345286
178,211787
8651,142449
10497,342126
1174,240305
6606,248265
8665,312240
1831,335611
10097,197959
6746,227751
10033,340650
1781,174883
3201,131146
198,349268
11539,230366
4087,312956
5193,363669
548,248317
3339,310417
11786,364329
9100,162823
7150,235081
7464,270737
2532,131151
6398,319654
2314,375247
9234,287948
8891,189807
10299,258050
7753,139659
66,316762
5127,369055
4712,177979
5214,320334
3260,248415
5033,251920
2572,325364
8543,150274
11699,230545
622,86856
1681,380217
9754,234051
787,281380
3332,321553
7633,165609
6008,157591
7791,277403
12156,360178
3280,323599
7838,221217
11393,211075
11809,222844
7428,287202
10803,209376
515,202212
6158,382552
478,183716
10104,151127
6703,87797
9001,280520
2647,300733
10511,395159
7670,253328
8045,178070
1033,381629
7364,411516
2598,329958
10153,146010
6191,385956
7075,404345
6752,262895
10661,327115
8108,245396
344,230239
5521,335630
8046,369846
1871,248797
2977,364533
10154,193889
3986,368126
12007,217367
2888,231905
12446,161621
4623,243911
4818,227044
8431,268527
11675,287296
220,228494
11478,358361
11965,255635
7562,291175
10392,311806
7220,325121
6400,245413
6884,328246
4016,357397
7217,120489
4248,145764
9932,111378
11430,359115
8749,240060
10465,315955
5868,188709
11035,127354
1264,389103
8015,325964
4241,322280
5650,279207
9727,328516
11353,306263
7681,276054
11467,269324
7381,185834
8671,176809
2881,293381
1677,271887
6757,264828
6886,325654
901,311479
9545,100884
2296,195886
3402,355191
6805,360808
296,156624
11724,130286
4153,241018
10146,143949
6887,317535
27,377181
6920,308482
9253,89072
3829,273620
6244,330452
8658,297991
3248,334734
6363,268689
9890,329909
8122,346807
2580,382284
6914,341130
9290,343667
8496,149877
1370,329693
12320,139927
9463,316886
8117,195662
5551,143190
7410,298623
5254,366416
681,241296
11628,187237
4775,173130
5422,355531
3159,287878
9083,316039
2987,244160
4908,327870
1882,307762
6366,190874
8653,274259
1940,337295
3296,247452
3534,130046
6879,122856
3729,394083
490,287622
7918,232477
1181,215877
1375,326820
5014,126513
9978,199621
7159,320740
626,398951
4758,131097
11343,302609
2112,160525
8628,408936
9568,248973
6378,104968
1767,186097
9161,190251
4180,300010
9459,237011
6532,408647
1462,238088
6379,226329
2887,270682
6923,381404
684,213332
4539,246956
4514,322116
9605,291817
9825,250510
1366,317572
3916,346284
12254,318253
2639,384678
11821,379989
5602,305017
11273,348316
5729,208587
5730,284450
7872,244010
8641,338437
2300,117369
4787,181839
2938,313135
5659,249614
8539,128945
10815,323623
7874,130467
1979,328946
5979,164975
3803,162538
4534,99663
8439,338406
10494,370494
11439,397679
10029,309366
8086,163420
9373,256984
4800,393564
2280,229128
6967,150810
6504,314950
4469,188466
5133,276527
8077,297030
998,169766
4130,333923
5266,136577
12204,173117
12259,124352
1784,321929
3182,385154
10825,394861
494,330588
6998,193396
9701,291816
6529,351288
2860,341544
2038,211789
4041,170859
9583,303438
2897,294228
366,309605
849,366891
8149,348283
6946,192437
8300,175603
6747,150039
2653,188440
3503,257183
9389,288435
6095,112526
1541,173180
7039,131481
11070,266903
322,157323
2031,180967
5089,261971
7438,282336
813,273000
2528,300338
11713,160576
10777,202499
6375,231849
6280,358492
11487,227592
10643,166865
5274,190187
1079,169558
2226,396717
9757,281164
11409,370408
3515,173323
2705,157054
11838,356647
6671,245033
1164,394576
3261,311253
6648,319238
6580,261652
1450,365554
6126,273589
4229,195794
8380,233311
3862,128186
2936,169138
10089,262766
3917,163143
5487,320361
7685,279662
12317,315031
1723,267314
11959,120743
7507,176034
7060,145146
4056,141387
11885,210786
2999,326691
7728,244654
11258,337708
1231,214534
1514,263227
2313,144628
10899,188602
1451,400999
10484,216777
7288,339330
9711,411287
9976,150138
10651,249707
4321,256538
8470,209745
838,262248
12390,188282
6470,240825
8065,363440
10530,385934
3899,205316
10614,259211
3567,128696
11573,258984
5452,111585
3087,353127
10158,175205
10798,285313
4546,335084
4692,169920
1714,309957
7213,263376
4270,312624
339,350227
9287,179144
4086,386216
8034,256486
10157,317409
7709,373724
588,224317
3365,316021
2670,340478
5515,299118
3589,272932
34,148467
28,294994
2395,233412
7034,221598
8165,196625
5506,204290
7204,239297
2170,322242
8069,198506
7333,104746
889,195742
3878,318090
3322,303522
11739,414980
3514,290786
6942,309191
10414,140545
5673,205499
8625,188368
2774,223797
6559,142165
3733,166976
7387,153299
11828,405241
9512,279217
4528,362238
1654,229213
8095,222485
7900,382701
223,332542
10770,220527
6843,149663
12029,356015
5982,256209
4239,346005
5882,370824
1590,217394
8762,213290
3256,227010
9215,237511
11804,315390
2181,405634
7856,204148
9336,291011
9371,150738
6165,294157
6103,168654
7770,406734
9440,374955
10940,334185
4817,341097
7642,286898
9720,94370
6521,400574
6507,180797
1209,266273
6820,201112
421,271886
10925,292270
1706,210953
1158,332638
2306,214814
273,258931
171,112947
3956,329131
5606,148085
7782,259470
4865,217058
7632,264615
3188,210847
1725,398051
9677,370757
11162,246407
1564,245985
1782,383627
843,346850
11678,328347
7012,297136
904,341999
3494,231550
12090,298232
10637,148883
1547,186468
10424,94644
2080,330723
11958,397781
9357,298833
7058,332515
3985,290786
9036,295727
8404,404908
10905,146142
12464,204643
10897,287139
4677,274996
6533,238803
3820,253925
5209,291765
2646,373771
6997,113171
9569,336460
8013,219973
256,126989
8237,294328
9470,343975
4350,268244
12209,119393
7289,154385
5923,326274
6365,279833
9672,163654
2155,135447
9581,339585
11099,206683
3715,204921
4057,398100
9144,299318
10356,214423
3622,374883
5648,350217
7013,202899
6403,347574
3102,374406
558,203453
11449,356002
6870,272905
1436,258375
507,351232
5275,173841
4472,353676
1869,222004
5663,142735
7747,177843
5930,174122
8727,377577
755,257126
8064,260944
2339,350741
4050,408222
8229,201570
3836,311645
4386,320955
6332,192033
9628,153681
6621,180504
2118,221367
9627,181398
729,330025
501,292027
7655,218984
643,228203
8794,185445
1539,270797
8868,179585
1211,141263
9220,382174
11389,392616
672,197372
4915,156400
6106,111847
6791,240776
3377,309708
4476,132862
5615,174976
10977,229560
1464,380200
4745,351505
11140,249751
1192,259917
3793,297737
1872,257426
3590,237987
6360,392386
3158,322135
10088,390096
505,385055
243,139533
5678,334242
506,204002
10214,366037
6501,303967
9264,357410
11007,302471
4717,236299
6222,309548
7247,375001
12130,140542
7847,162152
1773,288440
11316,281184
3010,301370
7711,324042
10203,200381
797,320363
3618,303808
2381,98438
2829,197517
12467,220223
11644,201749
10920,408216
4633,351369
312,195921
6510,266047
746,135146
3569,306447
790,195864
2476,316396
6120,110334
9722,233119
12422,362431
2570,352327
5753,333012
8251,171590
10799,333031
6448,219309
5599,302415
10919,223593
4355,225088
2163,162149
9174,128945
8997,187073
380,230972
11370,399192
1292,147474
1912,195984
11084,241888
599,327532
3892,144652
4141,301780
5540,379084
1652,155511
3634,333006
9844,280490
1893,261600
1944,106440
3395,295808
3388,150897
6502,162892
4362,163008
12211,191671
375,204299
1966,413557
3957,252369
6195,289266
10961,386988
4423,129403
5351,271353
5696,236482
1243,333447
8499,259082
10072,297267
7080,293554
8113,147953
8638,322295
1471,314860
3346,339650
4522,155479
2657,143349
2853,250906
4506,302941
11844,287394
11218,257938
12218,261666
4045,119135
8115,117557
4062,374085
5326,237902
8151,379705
6578,135949
9420,194131
7540,136164
4306,280746
9326,182616
5139,315303
7662,304316
9626,168359
298,289246
3990,256395
1049,158548
10202,217716
3823,284701
8284,351116
10007,367589
2035,394382
4039,175316
11489,140427
8153,262483
11688,241620
1972,291639
7500,140454
2099,205063
1499,313863
5205,302257
3512,136452
6851,181321
8752,151847
652,231356
170,376654
6828,335366
4085,308724
242,242746
9857,312231
5798,182521
10612,308631
4371,303697
1644,92651
6355,377168
5594,188331
2756,393922
5794,247726
12402,358778
9620,361459
9390,332634
12394,151276
5231,283427
2076,114159
4103,276242
11949,164431
3996,131263
4801,161792
5968,412228
7614,362595
10946,241580
8011,380388
8670,391138
7566,395234
11710,116093
7447,193598
6754,357209
8297,146538
5849,298738
7235,167689
7666,336688
10385,337295
4661,240836
4078,193072
6054,393437
10548,353418
5974,418624
640,318210
1270,226930
8443,147666
2778,342223
4603,312368
4932,196914
6060,344796
1985,198804
3861,371203
3480,285466
1534,204322
325,279538
5764,125065
2338,310503
10857,305707
3980,314305
9386,208926
7407,146994
4054,268975
2237,150575
5229,227494
9563,242262
4571,189580
12087,279695
5474,209811
7460,318436
864,338158
8537,372790
4942,159938
2253,347949
6010,227648
8170,181568
371,341685
8968,259376
11846,229990
609,193383
8834,298819
10447,321934
10884,175014
8709,183925
11601,245416
9764,259711
12058,256810
9414,228543
5830,370726
2364,231834
3213,287056
5456,156966
911,205316
11289,130073
12063,259774
3789,161882
9141,132346
11882,354774
5581,241154
9522,87810
11228,252859
8739,305544
5060,221345
6842,318847
1423,341219
12256,219421
479,299979
662,399377
7037,310575
6437,208450
11734,266246
10144,265844
2988,351417
1119,189323
2776,346718
4535,232434
11087,262559
8870,227349
9490,274200
6349,193162
10329,249416
9232,392898
8022,224925
5573,370245
6135,398354
5269,420287
4427,352446
9741,356682
5247,295936
10900,198604
3981,209701
9056,104425
11898,155343
2893,359497
2669,278283
3977,297957
8686,212698
279,180633
9858,337418
9286,293389
9238,366849
11011,189255
9902,301200
5197,276452
4664,110281
1694,331615
11758,147561
5018,323923
6133,338521
3479,189804
5554,321234
4416,369861
11630,286325
4155,159132
4883,327673
5807,106748
3809,232204
2552,222879
10762,217319
9960,154045
4296,361908
7225,201593
4683,132805
10510,353219
8956,120076
7612,115548
5593,400667
2209,176585
9851,351239
9763,163298
5402,309276
2410,381716
6897,401004
4563,141889
184,245915
12182,202679
7613,240367
4516,344074
2350,296812
553,422000
1397,250890
1384,325480
7459,127206
7948,312180
5856,231130
4903,216386
297,228504
443,299913
10983,251418
5215,216015
9689,311002
12344,199035
2077,397289
7495,172746
6017,387099
4751,229361
9982,206921
2229,191612
9148,293240
2842,316473
2537,185814
194,214778
10358,219083
6636,177904
7801,116067
817,390226
3367,292059
11826,188697
6553,326602
2578,369609
1131,218595
7335,384868
5505,332079
6854,319422
6761,188208
9193,162204
7572,93254
11996,220147
320,198765
1371,117506
4042,396054
7244,182995
8084,194383
907,392940
305,397316
3950,354725
5529,272154
7412,143617
11097,388753
9260,270404
8558,254182
9416,127798
8830,292330
10487,199055
926,237460
244,170926
9718,317134
15,286173
143,195630
5983,314927
2363,260292
9226,371222
129,97199
1161,193398
8685,188973
12241,294326
8134,199179
7336,196653
8102,284685
9125,385287
5458,278474
9349,215002
5308,124830
1876,121215
2488,410630
8796,267725
4479,204428
1182,395095
2525,266122
9025,206422
1170,345636
10853,361891
2182,125165
12053,347888
10883,363703
6792,205154
9599,270442
10633,368143
8060,360348
3371,164664
10122,248189
1859,279772
7636,255679
7503,369810
8263,118641
6781,227819
1878,303419
11068,387305
3588,352186
8495,375909
3121,299508
387,159970
1311,172812
1032,340537
10000,371708
6584,129083
8910,319238
6382,140520
6725,256692
9090,369276
9152,183117
4936,230905
931,244728
7775,170500
4019,241525
691,226347
8261,253779
5987,364854
6364,148333
1909,236707
829,216627
3498,339749
10513,301295
2081,372922
11124,272653
11796,195510
44,232013
3939,265649
949,166714
7108,411965
10378,244051
4319,203778
2965,242347
3969,116202
1187,357178
11179,363589
8268,155515
10880,249252
11778,197742
284,178715
10413,268921
11078,129484
6308,247792
4159,305163
3092,210817
9778,310916
4556,286747
5555,370917
7202,235428
4323,186035
3982,317310
8279,303739
6940,97256
3364,238065
1404,220580
3195,125822
8650,337711
8063,269442
969,231171
10142,190828
6543,274281
3734,285812
925,250764
11869,372136
9075,143179
4725,270868
2843,261175
2851,380998
10294,290280
8142,306544
5956,285591
519,224790
11069,235792
9980,147454
4471,110365
8091,282745
4348,249552
11208,363473
10038,179756
3626,360499
1789,307142
10340,240285
2059,364781
9436,316310
7143,147222
9460,221546
4013,374981
6006,144192
1902,168008
9089,192217
6215,258460
4686,268793
9233,188060
4922,155908
6785,140146
11100,277946
7142,119487
9899,170561
9415,290751
75,134654
2345,198898
6447,296725
8394,299245
430,152707
4586,226173
5483,118187
7760,277806
6405,140627
12026,274209
7915,180100
7393,209202
